LOCATIONID,LAT,LON,POLICE_DISTRICT,DISTRICT
447,42.35,-71.14,D14,Brighton
448,42.36,-71.15,D14,Brighton
449,42.35,-71.05,C6,South Boston
450,42.31,-71.08,B2,Roxbury
451,42.31,-71.08,,
452,42.3,-71.09,B3,Mattapan
453,42.28,-71.13,E5,West Roxbury
454,42.31,-71.06,C11,Dorchester
455,42.26,-71.15,E5,West Roxbury
456,42.29,-71.13,E5,West Roxbury
457,42.28,-71.14,E5,West Roxbury
458,42.28,-71.08,B3,Mattapan
459,42.33,-71.06,C6,South Boston
460,42.33,-71.08,B2,Roxbury
461,42.33,-71.03,C6,South Boston
462,42.32,-71.07,B2,Roxbury
463,42.35,-71.09,D4,South End
464,42.3,-71.08,B3,Mattapan
465,42.35,-71.14,,
466,42.33,-71.09,B2,Roxbury
467,42.31,-71.09,B2,Roxbury
468,42.35,-71.14,D14,Brighton
469,42.37,-71.04,A7,East Boston
470,42.35,-71.06,A1,Downtown?
471,42.29,-71.08,B3,Mattapan
472,42.35,-71.07,D4,South End
473,42.33,-71.09,,
474,42.3,-71.11,E13,Jamaica Plain
475,42.29,-71.07,C11,Dorchester
476,42.3,-71.11,E13,Jamaica Plain
477,42.34,-71.07,D4,South End
478,42.32,-71.09,B2,Roxbury
479,42.3,-71.07,C11,Dorchester
480,42.31,-71.07,C11,Dorchester
481,42.36,-71.06,A1,Downtown?
482,42.31,-71.07,C11,Dorchester
483,42.25,-71.13,E18,Hyde Park
484,42.29,-71.16,E5,West Roxbury
485,42.38,-71.03,A7,East Boston
486,42.32,-71.07,B2,Roxbury
487,42.32,-71.06,C6,South Boston
488,42.35,-71.13,D14,Brighton
489,42.3,-71.06,C11,Dorchester
490,42.3,-71.07,B3,Mattapan
491,42.3,-71.06,,
492,42.36,-71.14,D14,Brighton
493,42.26,-71.1,E18,Hyde Park
494,42.36,-71.06,A1,Downtown?
495,42.28,-71.09,B3,Mattapan
496,42.33,-71.06,C6,South Boston
497,42.29,-71.13,E5,West Roxbury
498,42.3,-71.11,E13,Jamaica Plain
499,42.32,-71.1,E13,Jamaica Plain
500,42.28,-71.12,E18,Hyde Park
501,42.3,-71.09,B3,Mattapan
502,42.28,-71.08,B3,Mattapan
503,42.31,-71.07,C11,Dorchester
504,42.35,-71.05,C6,South Boston
505,42.28,-71.15,E5,West Roxbury
506,42.35,-71.06,,
507,42.36,-71.16,D14,Brighton
508,42.36,-71.14,D14,Brighton
509,42.31,-71.05,C11,Dorchester
510,42.34,-71.14,D14,Brighton
511,42.33,-71.06,C6,South Boston
512,42.28,-71.11,E18,Hyde Park
513,42.31,-71.1,E13,Jamaica Plain
514,42.35,-71.07,A1,Downtown?
515,42.3,-71.08,B3,Mattapan
516,42.35,-71.06,A1,Downtown?
517,42.36,-71.12,D14,Brighton
518,42.29,-71.12,E5,West Roxbury
519,42.36,-71.07,A1,Downtown?
