LOCATIONID,STREET,LAT,LON,POLICE_DISTRICT,DISTRICT
188,HARVARD AVE,42.25874573,-71.12243682,E18,Hyde Park
189,MALTA ST,42.26506676,-71.09768522,E18,Hyde Park
190,BLUE HILL AVE,42.27219089,-71.09351043,B3,Mattapan
191,CHELSEA ST,42.37638326,-71.03124103,A7,East Boston
192,W SELDEN ST,42.27376816,-71.08919673,B3,Mattapan
193,COLUMBUS AVE,42.31501293,-71.0975669,E13,Jamaica Plain
194,BOYLSTON ST,42.3523119,-71.0637051,A1,Downtown
195,HILLSIDE ST,42.33013124,-71.10138008,B2,Roxbury
196,DORCHESTER AVE,42.30396336,-71.05924636,C11,Dorchester
197,ROBINWOOD AVE,42.31668732,-71.11261214,E13,Jamaica Plain
198,SUMMER ST,42.35332464,-71.05727637,A1,Downtown
199,SLAYTON WAY,42.32177032,-71.09779774,B2,Roxbury
200,P ST,42.33292583,-71.02709025,C6,South Boston
201,ADAMS ST,42.28523455,-71.05509673,C11,Dorchester
203,BOYLSTON ST,42.34901954,-71.08130134,D4,South End
205,COLEMAN ST,42.30776342,-71.06683062,C11,Dorchester
206,CARSON ST,42.3197573,-71.05428941,C11,Dorchester
207,CENTRE ST,42.32955354,-71.09357444,B2,Roxbury
208,AMERICAN LEGION HWY,42.27531312,-71.11587798,E18,Hyde Park
209,E BROADWAY,42.33561661,-71.03641895,C6,South Boston
210,WASHINGTON ST,42.349056,-71.1504985,D14,Brighton
211,MORTON ST,42.28187061,-71.08751152,B3,Mattapan
212,WASHINGTON ST,42.29417346,-71.07193797,C11,Dorchester
213,TALBOT AVE,42.29389648,-71.08451577,B3,Mattapan
214,MARTIN LUTHER KING JR BLV,42.31791574,-71.0821563,B2,Roxbury
215,PARK ST,42.29482381,-71.07603424,B3,Mattapan
216,WASHINGTON ST,42.34724186,-71.14870339,D14,Brighton
217,READVILLE ST,42.24077498,-71.13536804,E18,Hyde Park
218,HORAN WAY,42.32547536,-71.10253482,E13,Jamaica Plain
219,DORCHESTER AVE,42.31322413,-71.05715277,C11,Dorchester
220,TREMONT ST,42.34868544,-71.06608848,A1,Downtown
222,TREMONT ST,42.356585,-71.06189505,A1,Downtown
223,SEAPORT BLVD,42.35311458,-71.04842121,C6,South Boston
224,NAZING CT,42.3075244,-71.08720471,B2,Roxbury
225,LINDEN ST,42.35179211,-71.13023989,D14,Brighton
226,BROOKLINE AVE,42.34717072,-71.09855075,D4,South End
227,BARRY ST,42.30870401,-71.06844484,C11,Dorchester
228,O ST,42.33783948,-71.02929361,C6,South Boston
229,FAIRLAND ST,42.32522448,-71.07821131,B2,Roxbury
230,SUMNER ST,42.36967378,-71.04155054,A7,East Boston
232,WAUMBECK ST,42.3140129,-71.08635277,B2,Roxbury
233,GLENVILLE AVE,42.3502537,-71.13336819,D14,Brighton
234,ADAMS ST,42.32851529,-71.07653709,B2,Roxbury
236,CENTRE ST,42.29339151,-71.062944,C11,Dorchester
237,BOYLSTON ST,42.34442266,-71.09833083,D4,South End
238,MARION ST,42.37725644,-71.03667354,A7,East Boston
239,MILLET ST,42.29528529,-71.07740522,B3,Mattapan
240,SAN JUAN ST,42.34070886,-71.07473698,D4,South End
241,WALDEN ST,42.32561013,-71.10449956,E13,Jamaica Plain
242,DAY ST,42.32537833,-71.10765077,E13,Jamaica Plain
243,NORFOLK ST,42.2874272,-71.07853773,B3,Mattapan
244,SECOND NEW WAY,42.25378838,-71.11950948,E18,Hyde Park
245,GEORGE ST,42.32688327,-71.07390946,B2,Roxbury
246,WALNUT AVE,42.32217348,-71.08506711,B2,Roxbury
248,HYDE PARK AVE,42.26496475,-71.12123167,E18,Hyde Park
249,SPENCER ST,42.29293522,-71.07575826,B3,Mattapan
250,HULL ST,42.36644912,-71.0548399,A1,Downtown
252,WALTER ST,42.25667872,-71.11853971,E18,Hyde Park
253,WASHINGTON ST,42.28164735,-71.07111848,C11,Dorchester
254,COMMONWEALTH AVE,42.34888872,-71.1335453,D14,Brighton
255,DORCHESTER AVE,42.29919694,-71.06046974,C11,Dorchester
256,WASHINGTON ST,42.35680075,-71.05893025,A1,Downtown
257,DANA AVE,42.24725578,-71.11958581,E18,Hyde Park
258,BLUE HILL AVE,42.30803768,-71.08359213,B2,Roxbury
259,CENTRE ST,42.32088524,-71.11058918,E13,Jamaica Plain
260,RUTHERFORD AVE,42.37167264,-71.06326413,A15,Charlestown
261,WASHINGTON ST,42.32866284,-71.08563401,B2,Roxbury
262,F ST,42.33382906,-71.05128729,C6,South Boston
263,STRATTON ST,42.29017432,-71.08808525,B3,Mattapan
