LOCATIONID,STREET,LAT,LON,POLICE_DISTRICT,DISTRICT
213,TALBOT AVE,42.29,-71.08,B3,Mattapan
214,MARTIN LUTHER KING JR BLV,42.32,-71.08,B2,Roxbury
215,PARK ST,42.29,-71.08,B3,Mattapan
216,WASHINGTON ST,42.35,-71.15,D14,Brighton
217,READVILLE ST,42.24,-71.14,E18,Hyde Park
218,HORAN WAY,42.33,-71.1,E13,Jamaica Plain
219,DORCHESTER AVE,42.31,-71.06,C11,Dorchester
220,TREMONT ST,42.35,-71.07,A1,Downtown?
221,ROWES,-1,-1,,
222,TREMONT ST,42.36,-71.06,A1,Downtown?
223,SEAPORT BLVD,42.35,-71.05,C6,South Boston
224,NAZING CT,42.31,-71.09,B2,Roxbury
225,LINDEN ST,42.35,-71.13,D14,Brighton
226,BROOKLINE AVE,42.35,-71.1,D4,South End
227,BARRY ST,42.31,-71.07,C11,Dorchester
228,O ST,42.34,-71.03,C6,South Boston
229,FAIRLAND ST,42.33,-71.08,B2,Roxbury
230,SUMNER ST,42.37,-71.04,A7,East Boston
231,,42.28,-71.07,,
232,WAUMBECK ST,42.31,-71.09,B2,Roxbury
233,GLENVILLE AVE,42.35,-71.13,D14,Brighton
234,ADAMS ST,42.33,-71.08,B2,Roxbury
235,,42.36,-71.06,,
236,CENTRE ST,42.29,-71.06,C11,Dorchester
237,BOYLSTON ST,42.34,-71.1,D4,South End
238,MARION ST,42.38,-71.04,A7,East Boston
239,MILLET ST,42.3,-71.08,B3,Mattapan
240,SAN JUAN ST,42.34,-71.07,D4,South End
241,WALDEN ST,42.33,-71.1,E13,Jamaica Plain
242,DAY ST,42.33,-71.11,E13,Jamaica Plain
243,NORFOLK ST,42.29,-71.08,B3,Mattapan
244,SECOND NEW WAY,42.25,-71.12,E18,Hyde Park
245,GEORGE ST,42.33,-71.07,B2,Roxbury
246,WALNUT AVE,42.32,-71.09,B2,Roxbury
247,,42.31,-71.1,,
248,HYDE PARK AVE,42.26,-71.12,E18,Hyde Park
249,SPENCER ST,42.29,-71.08,B3,Mattapan
250,HULL ST,42.37,-71.05,A1,Downtown?
251,,42.34,-71.08,,
252,WALTER ST,42.26,-71.12,E18,Hyde Park
253,WASHINGTON ST,42.28,-71.07,C11,Dorchester
254,COMMONWEALTH AVE,42.35,-71.13,D14,Brighton
255,DORCHESTER AVE,42.3,-71.06,C11,Dorchester
256,WASHINGTON ST,42.36,-71.06,A1,Downtown?
257,DANA AVE,42.25,-71.12,E18,Hyde Park
258,BLUE HILL AVE,42.31,-71.08,B2,Roxbury
259,CENTRE ST,42.32,-71.11,E13,Jamaica Plain
260,RUTHERFORD AVE,42.37,-71.06,A15,Charlestown
261,WASHINGTON ST,42.33,-71.09,B2,Roxbury
262,F ST,42.33,-71.05,C6,South Boston
263,STRATTON ST,42.29,-71.09,B3,Mattapan
264,COLUMBUS AVE,42.31,-71.1,E13,Jamaica Plain
265,HARVARD ST,42.3,-71.08,B3,Mattapan
266,,42.35,-71.07,,
267,TOPLIFF ST,42.3,-71.07,C11,Dorchester
268,SYMPHONY RD,42.34,-71.09,D4,South End
269,FIRST AVE,42.38,-71.05,A15,Charlestown
270,RIVER ST,42.25,-71.13,E18,Hyde Park
271,ELM HILL AVE,42.31,-71.09,B2,Roxbury
272,STANWOOD ST,42.31,-71.08,B2,Roxbury
273,BOYLSTON ST,42.35,-71.08,D4,South End
274,PURITAN AVE,42.31,-71.07,C11,Dorchester
275,,42.36,-71.06,,
276,MATTAPAN ST,42.28,-71.09,B3,Mattapan
277,ROYAL ST,42.36,-71.13,D14,Brighton
278,NEPONSET AVE,42.3,-71.06,C11,Dorchester
279,HOMESTEAD ST,42.31,-71.09,B2,Roxbury
280,GALLIVAN BLVD,42.28,-71.06,C11,Dorchester
281,DORCHESTER AVE,42.29,-71.06,C11,Dorchester
282,HYDE PARK AVE,42.27,-71.12,E18,Hyde Park
283,,42.35,-71.15,,
284,GILMER ST,42.28,-71.1,B3,Mattapan
285,HAVILAND ST,42.35,-71.09,D4,South End
286,BEACON ST,42.35,-71.08,D4,South End
287,W BROADWAY,42.34,-71.06,C6,South Boston
288,TALBOT AVE,42.29,-71.08,B3,Mattapan
289,BOWDOIN ST,42.31,-71.07,C11,Dorchester
290,S HUNTINGTON AVE,42.33,-71.11,E13,Jamaica Plain
291,GREENVILLE ST,42.33,-71.08,B2,Roxbury
292,CENTRE ST,42.32,-71.1,E13,Jamaica Plain
293,MCKINLEY SQ,42.36,-71.05,A1,Downtown?
294,DORCHESTER AVE,42.3,-71.06,C11,Dorchester
295,FIDELIS WAY,42.35,-71.14,D14,Brighton
296,WINTER ST,42.36,-71.06,A1,Downtown?
297,SEAVER ST,42.31,-71.09,B2,Roxbury
298,RIDGEWOOD ST,42.3,-71.07,C11,Dorchester
299,GREENBRIER ST,42.3,-71.07,C11,Dorchester
300,WARREN ST,42.33,-71.08,B2,Roxbury
301,BOWDOIN ST,42.31,-71.07,C11,Dorchester
302,ADAMS ST,42.31,-71.06,C11,Dorchester
303,MASSACHUSETTS AVE,42.34,-71.09,D4,South End
304,WELLES AVE,42.29,-71.07,C11,Dorchester
305,COMMONWEALTH AVE,42.35,-71.13,D14,Brighton
306,GLENWAY ST,42.3,-71.08,B3,Mattapan
307,HARVARD ST,42.29,-71.09,B3,Mattapan
308,BLAKE ST,42.26,-71.11,E18,Hyde Park
309,WINBOROUGH ST,42.27,-71.11,E18,Hyde Park
310,W FIFTH ST,42.34,-71.05,C6,South Boston
311,TEMPLETON WAY,42.29,-71.06,C11,Dorchester
312,VFW PKWY,42.28,-71.17,E5,West Roxbury
313,WESTERN AVE,42.36,-71.13,D14,Brighton
314,PIERCE AVE,42.29,-71.05,C11,Dorchester
315,RUTHERFORD AVE,42.38,-71.07,A15,Charlestown
316,HARRISON AVE,42.34,-71.06,D4,South End
317,LAWRENCE AVE,42.31,-71.08,B2,Roxbury
318,E BROADWAY,42.34,-71.04,C6,South Boston
319,TALBOT AVE,42.29,-71.07,C11,Dorchester
320,WILLIAMS ST,42.33,-71.08,B2,Roxbury
321,LAURIE AVE,42.27,-71.17,E5,West Roxbury
322,TRUMAN PKWY,42.24,-71.13,E18,Hyde Park
323,,42.34,-71.16,,
324,CANAL ST,42.36,-71.06,A1,Downtown?
325,PUTNAM ST,42.38,-71.03,A7,East Boston
326,HARVARD AVE,42.35,-71.13,D14,Brighton
327,HUNTINGTON AVE,42.33,-71.11,B2,Roxbury
328,GALLIVAN BLVD,42.28,-71.05,C11,Dorchester
329,CORONA ST,42.3,-71.07,C11,Dorchester
330,ANNABEL ST,42.32,-71.06,C11,Dorchester
331,RIVER ST,42.26,-71.13,E18,Hyde Park
332,ATLANTIC AVE,42.36,-71.05,A1,Downtown?
333,CRESCENT AVE,42.32,-71.05,C11,Dorchester
334,HAMMOND ST,42.34,-71.08,D4,South End
335,,,,B2,Roxbury
336,CHICKATAWBUT ST,42.29,-71.05,C11,Dorchester
337,HENCHMAN ST,42.37,-71.05,A1,Downtown?
338,E EIGHTH ST,42.33,-71.04,C6,South Boston
339,DORCHESTER AVE,42.33,-71.06,C6,South Boston
340,FARRINGTON AVE,42.35,-71.13,D14,Brighton
341,HUNTINGTON AVE,42.34,-71.09,D4,South End
342,ORKNEY RD,42.34,-71.15,D14,Brighton
343,BROCK ST,42.35,-71.16,D14,Brighton
344,BLAKEVILLE ST,42.3,-71.07,C11,Dorchester
345,SOUTH ST,42.29,-71.13,E5,West Roxbury
346,,42.38,-71.02,,
347,DR. MICHAEL GAVIN WAY,42.33,-71.05,C6,South Boston
348,,,,C6,South Boston
349,NORTON ST,42.3,-71.07,C11,Dorchester
350,CAMBRIDGE ST,42.35,-71.14,D14,Brighton
351,,42.3,-71.09,,
352,INTERVALE ST,42.31,-71.08,B2,Roxbury
353,PARKER ST,42.32,-71.1,E13,Jamaica Plain
354,COURT ST,42.36,-71.06,A1,Downtown?
355,,42.3,-71.11,,
356,MERLIN ST,42.3,-71.07,B3,Mattapan
357,DORCHESTER AVE,42.34,-71.06,C6,South Boston
358,HARVARD ST,42.29,-71.09,B3,Mattapan
359,PLEASANT ST,42.32,-71.06,C11,Dorchester
360,SOUTH ST,42.34,-71.16,D14,Brighton
361,DUDLEY ST,42.32,-71.07,B2,Roxbury
362,BRIGHTON AVE,42.35,-71.13,D14,Brighton
363,MARION ST,42.38,-71.04,A7,East Boston
364,BOYLSTON ST,42.34,-71.1,D4,South End
365,,42.32,-71.1,,
366,KELTON,-1,-1,,
367,MAVERICK ST,42.37,-71.04,A7,East Boston
368,RIVER ST,42.27,-71.09,B3,Mattapan
369,CAUSEWAY ST,42.37,-71.06,A1,Downtown?
370,L ST,42.33,-71.04,C6,South Boston
371,ADAMS ST,42.3,-71.06,C11,Dorchester
372,BROOKVIEW ST,42.29,-71.09,B3,Mattapan
373,MELVILLE AVE,42.29,-71.07,C11,Dorchester
374,BRIGHTON AVE,42.35,-71.13,D14,Brighton
375,,-1,-1,,
376,BOWDOIN ST,42.36,-71.06,A1,Downtown?
377,RIDGECREST TER,42.26,-71.15,E5,West Roxbury
378,DUNBAR AVE,42.29,-71.07,C11,Dorchester
379,WASHINGTON ST,42.35,-71.16,D14,Brighton
380,WALDECK ST,42.3,-71.07,C11,Dorchester
381,WESTLAND,-1,-1,,
382,HYDE PARK AVE,42.29,-71.12,E13,Jamaica Plain
383,,42.33,-71.07,,
384,,42.34,-71.08,,
385,MANCHESTER ST,42.27,-71.08,B3,Mattapan
386,,42.35,-71.08,,
387,BRIGHTON AVE,42.35,-71.13,D14,Brighton
388,COMMONWEALTH AVE,42.35,-71.11,D4,South End
389,,42.35,-71.07,,
390,BOYLSTON ST,42.35,-71.08,D4,South End
391,MARSHFIELD ST,42.32,-71.07,B2,Roxbury
392,BAKERSFIELD ST,42.32,-71.06,C11,Dorchester
393,FIDELIS WAY,42.35,-71.14,D14,Brighton
394,WOLCOTT SQ,42.24,-71.13,E18,Hyde Park
395,CLEARWAY ST,42.35,-71.09,D4,South End
396,COLUMBUS AVE,42.34,-71.08,D4,South End
397,WASHINGTON ST,42.3,-71.07,C11,Dorchester
398,GLENDOWER RD,42.28,-71.13,E5,West Roxbury
399,E FOURTH ST,42.33,-71.04,C6,South Boston
400,ROBINWOOD AVE,42.32,-71.11,E13,Jamaica Plain
401,ADAMS ST,42.3,-71.06,C11,Dorchester
402,BABSON ST,42.28,-71.09,B3,Mattapan
403,ROBBART LN,42.25,-71.11,E18,Hyde Park
404,BORDER ST,42.38,-71.04,A7,East Boston
405,BLACKSTONE ST,42.36,-71.06,A1,Downtown?
406,WILMINGTON AVE,42.28,-71.07,B3,Mattapan
407,HAMLET ST,42.32,-71.07,B2,Roxbury
408,E EIGHTH ST,42.33,-71.04,C6,South Boston
409,HYDE PARK AVE,42.26,-71.12,E18,Hyde Park
410,WARREN ST,42.33,-71.08,B2,Roxbury
411,WALK HILL ST,42.28,-71.1,B3,Mattapan
412,W WALNUT PARK,42.32,-71.1,E13,Jamaica Plain
413,,42.34,-71.09,,
414,GERARD ST,42.33,-71.07,B2,Roxbury
415,TREMONT ST,42.36,-71.06,A1,Downtown?
416,E EIGHTH ST,42.33,-71.05,C6,South Boston
417,LARCHMONT ST,42.3,-71.07,C11,Dorchester
418,,42.33,-71.11,,
419,MALCOLM X BLVD,42.33,-71.09,B2,Roxbury
420,GENEVA AVE,42.3,-71.07,C11,Dorchester
421,WASHINGTON ST,42.36,-71.06,A1,Downtown?
422,PRINCE ST,42.37,-71.06,A1,Downtown?
423,ADAMS ST,42.3,-71.06,C11,Dorchester
424,ASHEVILLE RD,42.27,-71.13,E18,Hyde Park
425,COMMERCIAL ST,42.37,-71.05,A1,Downtown?
426,BOYNTON ST,42.31,-71.11,E13,Jamaica Plain
427,MISSION PARK DR,42.33,-71.11,B2,Roxbury
428,TRINITY TER,42.3,-71.08,B3,Mattapan
429,GIBSON ST,42.3,-71.06,C11,Dorchester
430,RIVER ST,42.27,-71.08,B3,Mattapan
431,DURNELL AVE,42.29,-71.14,E5,West Roxbury
432,CENTRE ST,42.32,-71.11,E13,Jamaica Plain
433,JETTE CT,42.35,-71.14,D14,Brighton
434,BOWDOIN AVE,42.3,-71.07,C11,Dorchester
435,BOYLSTON ST,42.35,-71.06,A1,Downtown?
436,NEWBURY ST,42.35,-71.08,D4,South End
437,DORCHESTER ST,42.34,-71.04,C6,South Boston
438,FAIRMOUNT AVE,42.25,-71.12,E18,Hyde Park
439,COMMONWEALTH AVE,42.34,-71.14,D14,Brighton
440,GLEN ST,42.31,-71.07,C11,Dorchester
441,BURNEY ST,42.33,-71.1,B2,Roxbury
442,FAWNDALE RD,42.29,-71.12,E5,West Roxbury
443,SOUTHMERE RD,42.27,-71.08,B3,Mattapan
444,CUMMINS HWY,42.28,-71.11,E18,Hyde Park
445,,42.29,-71.09,,
446,BLUE HILL AVE,42.32,-71.08,B2,Roxbury
447,ALLSTON ST,42.35,-71.14,D14,Brighton
448,FANEUIL ST,42.36,-71.15,D14,Brighton
449,SLEEPER ST,42.35,-71.05,C6,South Boston
450,BLUE HILL AVE,42.31,-71.08,B2,Roxbury
451,,42.31,-71.08,,
452,SHANDON RD,42.3,-71.09,B3,Mattapan
453,HEATHCOTE ST,42.28,-71.13,E5,West Roxbury
454,HANCOCK ST,42.31,-71.06,C11,Dorchester
455,EDGEMERE RD,42.26,-71.15,E5,West Roxbury
456,WASHINGTON ST,42.29,-71.13,E5,West Roxbury
457,WALWORTH ST,42.28,-71.14,E5,West Roxbury
458,THETFORD AVE,42.28,-71.08,B3,Mattapan
459,MOHAWK ST,42.33,-71.06,C6,South Boston
460,WARREN ST,42.33,-71.08,B2,Roxbury
461,SWALLOW ST,42.33,-71.03,C6,South Boston
462,QUINCEFIELD ST,42.32,-71.07,B2,Roxbury
463,SAINT GERMAIN ST,42.35,-71.09,D4,South End
464,GREENWOOD ST,42.3,-71.08,B3,Mattapan
465,,42.35,-71.14,,
466,ROXBURY ST,42.33,-71.09,B2,Roxbury
467,HUMBOLDT AVE,42.31,-71.09,B2,Roxbury
468,GORDON ST,42.35,-71.14,D14,Brighton
469,MAVERICK SQ,42.37,-71.04,A7,East Boston
470,OXFORD ST,42.35,-71.06,A1,Downtown?
471,BROWNING AVE,42.29,-71.08,B3,Mattapan
472,BERKELEY ST,42.35,-71.07,D4,South End
473,,42.33,-71.09,,
474,WASHINGTON ST,42.3,-71.11,E13,Jamaica Plain
